layout,start_config,alpha_i,alpha_j,seed,sweep_type,complexity,both_success,single_success,failure,goal_reached_i,goal_reached_j,lava_collision,lava_hit_i,lava_hit_j,cell_collision,edge_collision,num_collisions,paralysis,paralysis_type,cycle_length,stay_streak,timesteps,steps_i,steps_j,arrival_order,arrival_gap,G_i,G_j,arousal_i,valence_i,emotion_i,dominant_emotion_i,arousal_j,valence_j,emotion_j,dominant_emotion_j,social_arousal_i,social_valence_i,social_arousal_j,social_valence_j,trajectory_i,trajectory_j
crossed_goals,A,0.5,0.5,42,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,80.57500457763672,80.07500457763672,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,0.5,0.5,43,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,80.57500457763672,80.07500457763672,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,0.5,0.5,44,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,80.57500457763672,80.07500457763672,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,0.5,0.5,45,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,80.57500457763672,80.07500457763672,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,0.5,0.5,46,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,80.57500457763672,80.07500457763672,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,1.0,1.0,42,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,83.125,82.625,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,1.0,1.0,43,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,83.125,82.625,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,1.0,1.0,44,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,83.125,82.625,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,1.0,1.0,45,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,83.125,82.625,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,1.0,1.0,46,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,83.125,82.625,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
